# ******* Тестовое задание на Junior Python Developer ********
# 
# 
# В этом файле находятся строки с переводом английских слов на русские в формате
# Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	астурийский ; астурлеонский
#
# Это значит, что каждое из английских слов (Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur) может переводиться как любое русское (астурийский ; астурлеонский)
#
# Также встречаются простые варианты где в строке 1 английское и русское слово
# Abidjan	Абиджан
# 
# Английские слова отделены от русских переводов символом табуляции
# 
# Надо распарсить этот файл и на базе него сделать 2 файла - English.txt и Russian txt, где каждой строке на английском будет соответствовать строка перевода на русском в другом файле во всех возможных вариантах.
# 
# Пример текста, который должен получиться в файлах, после работы вашего кода:
# 
# English.txt				Russian.txt		
#	
# Astur-Leonese				астурийский
# Astur-Leonese				астурлеонский
# Asturian				    астурийский
# Asturian				    астурлеонский
# Asturian-Leonese			астурийский
# Asturian-Leonese			астурлеонский
# ....						....
#
# Код который вы напишите присылайте на alexeir@lingvanex.com
#
#



9 ; nine	девять ; девять
AOX value	показатель абсорбции органических галогенов
ASEAN ; Association of Southeast Asian Nations	АСЕАН
Abidjan	Абиджан
Abkhaz ; Abkhazian ; Abkhazian	абхазский
Abkhazia	Абхазия
Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln	Авраам Линкольн
Abuja	Абуджа
Adelaide	Аделаида
Aegean Sea	Эгейское море
Afghanistan ; Transitional Islamic State of Afghanistan	Афганистан
Africa	Африка
Afrikaans	африкаанс
Albania ; Republic of Albania	Албания
Algeria ; People's Democratic Republic of Algeria	Алжир ; Алжжирская Народная Демократическая Республика ; Алжирская Народная Демократическая Республика
American Samoa	Американское Самоа
American football ; American football	американский футбол
Americas	Америка
Ames test	тест Эймса
Amsterdam	Амстердам
Andorra ; Principality of Andorra	Андорра
Angola ; Republic of Angola	Ангола
Anguilla	Ангилья
Antarctic Ocean ; Southern Ocean	Антарктический (Южный) океан ; Антарктический океан ; Южный океан
Antarctic ecosystem	экосистема Антарктики
Antarctica	Антарктика
Antigua and Barbuda	Антигуа и Барбуда
April	апрель
Apus	Райская Птица
Aquarius	Водолей
Aquila	Орёл
Arabic ; Standard Arabic	арабский
Aragonese ; Aragonese	арагонский
Arctic Ocean	Северный Ледовитый океан
Arctic ecosystem	экосистема Арктики
Argentina ; Argentine Republic	Аргентина
Aries	Овен
Arizona	Аризона
Armenia	Армения
Armenian	армянский
Articulata	членистые
Aruba	Аруба
Asia	Азия
Assamese ; Assamese	ассамский
Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	астурийский ; астурлеонский
Athens	Афины
Atlantic Ocean	Атлантический океан
August	август
Australia ; Commonwealth of Australia	Австралия
Austria ; Republic of Austria	Австрия
Austria-Hungary ; Austro-Hungarian Empire	Австро-Венгрия
Azerbaijan ; Republic of Azerbaijan	Азербайджан
Azerbaijani ; Azeri ; Azerbaijani Cluster	азербайджанский
BBS ; bulletin board system	электронная доска объявлений
Bahamas ; Commonwealth of the Bahamas ; Bahama Islands	Багамы
Bahrain	Бахрейн
Balearic Islands	Балеарские острова
Bangladesh ; People's Republic of Bangladesh	Бангладеш
Barbados	Барбадос
Basque ; Basque	баскский
Bavaria	Бавария
Beijing	Пекин
Belarus ; Republic of Belarus	Беларусь ; Белоруссия
Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian	белорусский
Belgium ; Kingdom of Belgium	Бельгия
Belgrade	Белград
Belize	Белиз
Belmopan	Бельмопан
Bengali ; Bengali	бенгальский
Benin ; Benin ; Republic of Benin	Бенин
Berlin	Берлин
Bermuda	Бермуды
Berne	Берн
Bethlehem	Вифлеем
Bhutan ; Kingdom of Bhutan	Бутан
Bible	Библия
Birmingham	Бирмингем
Black Sea	Черное море
Bokmål	букмол
Bolivia ; Republic of Bolivia	Боливия
Bonn	Бонн
Borneo ; Kalimantan	Борне́о ; Калимантан
Bosnia and Herzegovina ; Republic of Bosnia and Herzegovina	Босния и Герцеговина
Bosnian ; Bosnian	боснийский
Botswana ; Republic of Botswana	Ботсвана
Bouvet Island	Буве
Bratislava	Братислава
Brazil	Бразилия
Breton ; Breton	бретонский
British Indian Ocean Territory ; BIOT	Британская территория в Индийском океане
Brunei ; Negara Brunei Darussalam	Бруней
Brussels	Брюссель
Bucharest	Бухарест
